,Education,Seniority,Income
1,21.5862069,113.1034483,99.91717261
2,18.27586207,119.3103448,92.57913486
3,12.06896552,100.6896552,34.67872715
4,17.03448276,187.5862069,78.70280624
5,19.93103448,20,68.00992165
6,18.27586207,26.20689655,71.50448538
7,19.93103448,150.3448276,87.97046699
8,21.17241379,82.06896552,79.81102983
9,20.34482759,88.27586207,90.00632711
10,100,113.1034483,45.6555295
11,13.72413793,51.03448276,31.91380794
12,18.68965517,144.137931,96.2829968
13,11.65517241,20,27.9825049
14,16.62068966,94.48275862,66.60179242
15,10,187.5862069,41.53199242
16,20.34482759,94.48275862,89.00070082
17,14.13793103,20,28.81630076
18,16.62068966,44.82758621,57.68169426
19,16.62068966,175.1724138,70.10509604
20,20.34482759,187.5862069,98.83401154
21,18.27586207,100.6896552,74.7046992
22,14.55172414,137.9310345,53.53210563
23,17.44827586,94.48275862,72.07892367
24,10.4137931,32.4137931,18.57066503
25,21.5862069,20,78.80578429
26,11.24137931,44.82758621,21.38856131
27,19.93103448,168.9655172,90.81403512
28,11.65517241,57.24137931,22.63616262
29,12.06896552,32.4137931,17.61359304
30,17.03448276,106.8965517,74.6109602
